Target_Type,Target_Keyword,StandardDeviation,StandardDeviation_Mean,Kurtosis,Kurtosis_Mean,Skewness,Skewness_Mean
Occupations,CEO,"[0.123408206, 0.07128118, 0.065633535, 0.046926476, 0.057356283, 0.05860335, 0.04465386, 0.0563968, 0.04892884, 0.0866467, 0.055955704, 0.062918626, 0.05046993, 0.12355764, 0.088764, 0.04960746, 0.11846507, 0.038465947, 0.04630252, 0.06518287, 0.031871177, 0.05205005, 0.035871573, 0.03424046, 0.068032324, 0.07103949, 0.12117674, 0.06434765, 0.050066106, 0.08606289]",0.06580945,"[-0.614041324622657, -0.4629269127570361, 0.292966944096968, -0.09912650685715763, -0.03148644119125876, -0.2828305183262261, -0.14983466316339245, 0.16504691952899986, 0.6322831622216123, 0.4694626464490903, 0.008234733482578083, -0.06924354459166393, 0.3194186690987548, -0.68322339308303, -0.3184674444871969, 0.36835798844529055, -0.9217266745075117, -0.7359722519452032, 0.258692282678592, 0.2575052701877132, -0.10786760951688068, 0.6952120472301266, -0.47828901314661554, 0.2788899195914629, 0.3882555140002286, -0.25239959933933953, -0.3631294869775319, 0.5741885357970418, -0.11272870798445167, -0.6595248747533078]",-0.054476811148066726,"[0.10811920721050883, 0.11430908856867532, -0.3828936363937211, -0.12803462847985722, 0.19182070481977823, 0.24616697859710152, 0.21006995219608113, 0.09167741309396599, 0.12434392183016935, -0.2208342346874254, -0.21322936610022528, -0.2614649635507678, -0.1385293384926403, 0.4783166935873236, -0.35225241498144855, 0.2282180421771036, 0.26669798554375473, -0.20558604140196599, 0.2809983586489035, 0.062380865642813595, -0.21260176997970626, 0.3262940586582188, -0.23672243242835225, -0.04481636694364773, 0.4657335933399359, -0.5603821753650774, 0.6250887234948743, -0.33025510969881267, 0.2124827215971314, -0.121570020731763]",0.020784860325697627
Occupations,Engineer,"[0.06362938, 0.069845565, 0.065008216, 0.06806718, 0.07254985, 0.05435445, 0.070673965, 0.06727833, 0.0633655, 0.056645703, 0.056352742, 0.0627793, 0.059885897, 0.052657492, 0.054762524, 0.0541682, 0.06133088, 0.06614087, 0.054643363, 0.053996406, 0.064367294, 0.0579016, 0.061528675, 0.060917076, 0.056106545, 0.06226687, 0.07698568, 0.06921748, 0.056269396, 0.06396467]",0.061922036,"[0.20950051888521903, 0.9008990540609303, -0.14237456852735164, 0.354324291019676, -0.15384130498369153, 0.5085888228430351, 0.4422847430050285, 0.8191826785768499, 0.5601216657576296, 0.291724427437424, 0.5203198303793433, 0.8402234058729103, 0.04846070935290436, 0.2053745121734578, 1.2723823916120667, 0.5314098777397671, 0.5853984001781782, -0.1466310292199111, 0.6137296468762599, 0.8419878617386218, 0.178859967787941, 0.4379808322024492, 0.13788892308185519, -0.42433045366998634, 0.5594007926333702, -0.19645600552499065, 0.17969579877677422, -0.5443228948880718, -0.016662939853900216, 0.12081423538828728]",0.3178644730237358,"[0.1719211687742383, -0.5456654158526894, -0.4700393789165636, 0.25503306939410403, -0.2437229094488463, 0.5721582189351363, 0.08818203190890356, 0.3287081280038425, 0.02629597452547212, 0.6293703136296229, -0.47539706241877827, 0.4366355076606282, 0.4545770831797445, 0.1275042887405932, -0.8828737626485758, 0.5375912746688046, 0.08185605441671183, -0.2776803450964327, 0.7216129206598532, -0.43539589363879677, 0.3448080336038482, 0.57075521752521, -0.7662492020516912, 0.3763779221915163, 0.25963336607507437, -0.12330318057592711, -0.5592896098690284, -0.30469580503400795, -0.15429488319390988, 0.3134609929185884]",0.03526247060222151
Occupations,Doctor,"[0.058438193, 0.1277069, 0.07935456, 0.03975354, 0.06332595, 0.057857923, 0.042665176, 0.04631736, 0.05111598, 0.05828576, 0.099480666, 0.053756464, 0.05568129, 0.062832564, 0.058443543, 0.07991626, 0.050643157, 0.03903352, 0.08213618, 0.060382396, 0.07272545, 0.062559515, 0.07990148, 0.046246924, 0.06469111, 0.055597175, 0.09054769, 0.061548464, 0.07953963, 0.087103754]",0.065586284,"[0.20174517623340638, -0.6485175297790406, 0.22855728879026405, -0.259244090201737, 0.3007353411675915, 0.34692197167852923, -0.011272944044421696, -0.23198478011614165, -0.282099046498419, 0.5806642319320297, 0.31614856688980497, -0.10021509117429028, -0.7612623439095958, 0.3540159921403059, 1.6357398908253176, 0.5030411234023702, 0.28151966174117193, -0.4752623070572808, -0.5518716667558263, -0.25163058043501296, 0.2745122180931858, 0.5068369662315537, 0.6862203096448303, 0.18256605140749071, 0.304690601199904, -0.06788908159643636, -0.3669297269540608, 2.528326582391008, 0.16698878440939913, 0.019878527135827717]",0.18036433655972425,"[0.3683628470587436, 0.17530804305401404, -0.25538133519763867, -0.30860180738019377, 0.13222601343655987, 0.33589621447191637, -0.1231687624233244, 0.1084565350100873, -0.6244149765225925, 0.08678171591697453, -0.047840672438090585, 0.09961933792761248, 0.02514608708832011, 0.5442032576041685, -0.11401149128042577, -0.11988774593684011, 0.1267930008393575, 0.24705166052950014, -0.21428663431944064, -0.005894136812691852, -0.1537559698898332, 0.41312238702611814, -0.09148418940985019, -0.03655990153794816, 0.28794347625223177, -0.09099972571293397, -0.21878900034451454, -0.7843743719671212, -0.39022382145973733, -0.39728814851418687]",-0.034201737164391975
Occupations,Farmer,"[0.0633351, 0.071043804, 0.07715273, 0.06636497, 0.070225604, 0.06525222, 0.09787263, 0.085061826, 0.09766324, 0.07301972, 0.0745314, 0.0684615, 0.09564238, 0.06710751, 0.072702944, 0.06542696, 0.06951692, 0.07737772, 0.0779497, 0.08189235, 0.070969656, 0.07375028, 0.07632798, 0.078921735, 0.06640405, 0.071365476, 0.083402134, 0.06994253, 0.06795688, 0.094700664]",0.075711414,"[0.14870147154135038, -0.19679547723187252, 0.6722017690861088, 0.23667276190014608, 0.44085080781487607, 0.4931661992040963, 1.2885373185027689, 1.0093029560884572, 0.9151777742435758, 1.2717766799298804, 0.04905851841843978, 0.2032319070819284, 0.7918633977644665, 0.19732777063063134, 0.037732558609916644, 0.543357094981546, 1.1551814425963913, 0.62203408899944, 1.0528796299280643, 0.6832087294888454, 0.016543814488189756, 1.1512055496837297, 0.6807434303220026, 0.017947128035241455, 0.40826153942533594, -0.49522829887460773, -0.3120040808887672, 1.094012945086571, -0.11579439768863464, 0.099228080163686]",0.47201277031106004,"[-0.008440293563577488, -0.028741805461350644, 0.6856836248230797, 0.49622825485257516, 0.5796971338908848, 0.7683046215685915, 0.9737789212654381, 0.8185381594608692, 0.928953066317986, 0.9008168006582996, 0.045515970948619776, 0.4384496531643099, 0.9287728903124293, 0.274111516572712, 0.3113592653634001, 0.5185645613744827, 0.8271061272440433, 0.7982731321014549, 0.8325569023647625, 0.7688050024229023, 0.24907799449813625, 0.779894225957846, 0.578408031226349, 0.22382888083497166, 0.6957796884628643, -0.10836110965305554, -0.015065260753705005, 0.5705075767737228, 0.24904820344121176, 0.6272125781185988]",0.5236221438196285
Occupations,Programmer,"[0.07224743, 0.055619564, 0.07043312, 0.06655722, 0.059112977, 0.064197056, 0.06410393, 0.06311065, 0.07174255, 0.063098334, 0.08927316, 0.0659366, 0.07530963, 0.06570873, 0.056205355, 0.07441052, 0.05096593, 0.06670805, 0.05288223, 0.06392209, 0.03540116, 0.06296271, 0.0690381, 0.04491275, 0.062613435, 0.04574033, 0.07167453, 0.06923512, 0.04755674]",0.06278207,"[-0.15885268206913317, -0.009969964470998516, -0.38678736397469793, -0.44591652014188154, -0.263102059673209, -0.013909051787507565, 0.013886966590994643, -0.5213566323091001, -0.10104468549456413, -0.019441923522088178, -0.6970841503453928, 0.3362957588729749, -0.18127057272969038, 0.07383741746871708, 0.10990837529909792, -0.06905579892048808, -0.3081417008051486, 0.027624127055923875, -0.06083890744105647, 0.12001168877015767, 0.8995099297106766, 0.2614399840398369, 0.08674714197372824, -0.3872781299716581, 0.17926088585091815, -0.2533204706092027, 0.21228540145869346, -0.03743000657886064, -0.43574426876997086]",-0.06999093836285963,"[-0.5064420370572137, 0.14152049221072063, -0.20743885565123976, -0.15982135816392715, -0.32707440554139866, -0.36142132780491104, 0.3039340634455761, -0.4544990890319982, -0.15708960219026558, 0.0965600776715265, -0.2235604263837202, 0.23296821488494174, -0.4795235993980112, -0.2076632907130365, -0.08391092553583397, -0.2417924732236394, -0.04893099440161699, 0.25326715991328885, 0.16676723829500012, 0.14522042983862554, -0.4937859265341672, 0.18077723986731464, 0.001959038995175716, 0.0214352430365866, 0.05333871460713417, -0.08857716689502983, 0.21013065026893965, -0.3411672083538443, -0.3668459109175838]",-0.10143675981940024
Occupations,Beautician,"[0.06552273, 0.08096348, 0.060343213, 0.0736058, 0.062424913, 0.065929495, 0.07934361, 0.08003675, 0.06377093, 0.06826322, 0.079354435, 0.07304935, 0.07387296, 0.06681219, 0.07563196, 0.073103726, 0.065643534, 0.071930595, 0.06388242, 0.05947554, 0.07471053, 0.06357914, 0.06622582, 0.074180536, 0.07332316, 0.070281416, 0.07204793, 0.08712021, 0.070813656, 0.06348567]",0.070624284,"[-0.026528301658315545, -0.5873686353992804, -0.15845638826304675, -0.11846265104125342, 0.12750238537198122, 0.0565138185713443, -0.37983514428482446, -0.3754964162003538, -0.18808912012507317, -0.040857596601589385, -0.6141603541371645, -0.051517024490880026, -0.02357018097329, -0.32922964461659543, -0.3370745721629156, -0.2910981160219359, 0.2534301924767832, 0.12125968721266522, 0.19583917613887714, -0.09513394617083026, -0.24093922462197304, 0.022662399037475023, -0.150217177197995, -0.6370813983274832, -0.18197865766128585, -0.4807232027479986, -0.4134748068207754, -0.9795865625441937, 0.21690767493691743, -0.6090682612786344]",-0.21052773498672153,"[-0.10087587702769253, -0.37914855511863277, -0.11846305423011773, -0.13414938963763595, -0.40005864646024347, -0.10966845232325335, -0.2213920955931392, -0.12226045376878134, -0.10159275291151727, -0.21847164816428746, -0.4302042315329926, -0.3582329940929291, -0.07113004962155987, -0.09192528328428172, -0.3032097153752164, -0.5229005991037999, 0.11093546951555142, -0.07148033770596457, -0.18277459643344257, 0.010166435552412775, -0.31593183593645324, 0.14125511222797432, -0.0712913055222742, -0.40562459502799225, -0.16579271502984416, -0.057904632009342503, -0.2203793413444206, -0.2721343969481519, 0.11779018297436603, 0.1698653880176226]",-0.16323283219720133
Occupations,Housekeeper,"[0.0881227, 0.0884664, 0.066522434, 0.06946038, 0.07394211, 0.06649516, 0.052980598, 0.07770548, 0.07585415, 0.06595615, 0.089239046, 0.07831478, 0.0697583, 0.065943286, 0.070820324, 0.062149845, 0.07425739, 0.065026514, 0.0650368, 0.07594423, 0.04497815, 0.069611154, 0.06318702, 0.07653239, 0.07538891, 0.076329894, 0.06736286, 0.07964286, 0.08466767, 0.08164731]",0.07204482,"[-0.4249762564083568, -0.17070532322271603, 0.3571757117549015, 0.42123820968943315, 1.1270665259661126, 0.17575129938546086, 0.27749056020600094, 0.7447586614624893, 0.03682691916384773, 0.40553243620830814, -0.08809945922580598, 0.2811236767435683, 0.22432086634273318, 0.6503032886731601, 0.12445443898761477, 1.1639920806061141, 0.05628351752752181, 1.068749065611346, 0.6141333894825465, 0.41027845238085625, -0.038860291741652286, -0.040909590737307155, 0.6918083795349816, 0.30315717365385053, -0.16836538345211105, -0.3808427148243201, 0.31380026625822, 0.1809674220397075, -0.27304468782584124, 0.4188517088065087]",0.28207534476823903,"[-0.3994178165140964, -0.46588116395850154, -0.2547433998310665, -0.4953135557885906, 0.876701302644192, 0.22270980658401998, -0.1139265056658545, 0.2838980636427927, -0.2948610125267521, -0.1342912367066491, -0.28899582084709097, 0.0409296695213886, -0.15768533786677372, 0.4823236193565289, -0.4893526271297511, -0.3717375975804493, -0.19000135292549936, -0.0443886713799797, -0.09060532145569153, 0.13083014419189795, -0.057316574991442625, 0.29691181051480153, -0.4582541077231216, 0.5451109092207826, -0.0482146281199089, -0.4223584393954688, -0.38746589754868943, 0.32254543971351696, -0.03815163339563347, -0.32472193228672175]",-0.07752412894159373
Occupations,Librarian,"[0.09765371, 0.061095137, 0.055656295, 0.04868834, 0.039777234, 0.065067835, 0.035920165, 0.079197645, 0.11826222, 0.05437914, 0.040752728, 0.066039376, 0.063534565, 0.09259203, 0.05935021, 0.040823527, 0.06311206, 0.05968947, 0.046742983, 0.047579724, 0.05121631, 0.061860807, 0.06117097, 0.051618807, 0.045124333, 0.057853483, 0.08616637, 0.05677719, 0.04160144, 0.057980604]",0.060242824,"[-0.6990985587986076, -0.08012498521459621, -0.1747461911755277, -0.22417931840958172, 0.45271542910171814, 0.2682826886515204, 0.03581403930030591, 1.2769779699385175, -1.0877139186674827, 0.1981611496072997, 0.2045989739148273, -0.3487402656635359, -0.10958124026622817, -0.792686852691348, 0.536779960370398, 0.06819903909923264, -0.10855373564484161, -0.24218800379084193, 0.08785189884649469, -0.26634339470255997, 0.02629247291242276, -0.1264432800262436, -0.15124168616667255, -0.004269266424809626, 0.9461368826437835, 0.2189695656336763, -0.2959190508135352, -0.2056231079311579, -0.4269691886210838, 1.21613458664073]",0.0064164203884090835,"[-0.19204635342398066, -0.28818913440275407, 0.07117264452397358, -0.4509604369461954, -0.623937156284701, -0.1462364398322636, -0.32219768218965583, -0.5245023994873322, 0.07326166895916758, -0.5714684213060672, -0.3693079729860344, -0.134415192935911, -0.3753701243690352, 0.3267279654182335, -0.40571124213773074, -0.3728334047348495, -0.452484527929104, -0.4575620619833553, -0.15575610044186022, -0.3575793204627207, 0.08654963640686632, -0.1156512360294166, -0.5806137522930186, -0.4694925984988998, -0.6424913800260484, -0.477978400922379, -0.26064090546368174, -0.36518815309997504, -0.3231071123746349, 0.05177696373607319]",-0.2942077543839097
Occupations,Secretary,"[0.065481946, 0.07831479, 0.09155441, 0.08738299, 0.08230841, 0.048583403, 0.09323334, 0.06455438, 0.0791771, 0.057619493, 0.08799091, 0.061153382, 0.07538729, 0.09064031, 0.085024916, 0.06364353, 0.10457674, 0.088982865, 0.072244905, 0.07829682, 0.05579326, 0.07512161, 0.060530875, 0.09137004, 0.046400853, 0.06305438, 0.09702292, 0.08211082, 0.061441235, 0.09547298]",0.07614903,"[-0.342269572237655, 0.34856610916494635, -0.442371997046342, -0.8546705847597154, -0.3977083879575112, -0.15865108828242747, -0.503680782045171, -0.0951317899746873, 1.0010856667972847, -0.1285870696291953, -0.6169665702356513, 0.14280644655585695, -0.4505868193994935, -0.6243658091284177, -0.32392733382379957, -0.3274182820706022, -0.8249591539606307, -0.46126850980670975, -0.334649571476489, -0.6980431654068973, -0.42701209139929963, 0.4881315178166963, 0.1779032244037948, -0.09583875711610945, 0.839905577356395, -0.3934952664030389, -0.7728853616520288, 0.17938888456036617, 0.7698198701519554, -0.4339532985387997]",-0.19202779885144589,"[0.08278986819246463, -0.3714741212713103, -0.11662575429603013, 0.021890935317088772, -0.19343215694441, 0.062047370467746325, 0.6091974798165346, 0.14419877258768452, -0.36784652609621105, 0.2090609304438042, -0.05566906494253433, 0.299349111577166, 0.0841778188340308, 0.13686706427078565, -0.29053842519963263, -0.360404828128495, 0.5053716199320345, -0.1378375918557387, -0.15068531870336682, 0.07926695059877499, -0.0010290009609520022, -0.3406825977864896, -0.25027102072068136, -0.34990709526713587, -0.1754659259433185, -0.24268930921313403, 0.1722588500478058, 0.06903582411503527, -0.2955109833834434, 0.1169727109465886]",-0.03691948045217796
Occupations,Nurse,"[0.066719554, 0.06025934, 0.06002881, 0.06574122, 0.069596894, 0.06450964, 0.08312543, 0.070264, 0.06475224, 0.06355712, 0.05883574, 0.06462555, 0.06319517, 0.07094674, 0.067692265, 0.070702456, 0.0675065, 0.07068686, 0.06249365, 0.07763921, 0.066435464, 0.0658288, 0.066806495, 0.06477173, 0.072090395, 0.0651128, 0.06517831, 0.063272946, 0.06985857, 0.06218724]",0.06681404,"[0.41614222143011137, 0.007514155573067782, 0.09949138429657411, 0.3380190259622453, 0.20489002358522423, 0.48196395702490546, -0.05222107494662831, 0.22546116364261426, 0.2701922415926976, 0.25908972565393107, 0.9366823939367883, 0.3691599806015122, 0.4443671627555248, 0.4440256779943619, -0.3423284249741587, -0.024749873741637618, 0.2988474807588215, 0.3207905427255242, 0.3309555141569085, 0.15919195247069595, 0.20019515234993834, 0.3728310853364194, 0.3656985181945154, 0.25322208682769753, 0.2103642736541227, 0.36781397698143925, 0.08433661668625803, 0.033138334408021386, 0.2839627237813467, 0.1881886203910592]",0.25157455397033,"[0.5687051797856291, -0.46647514714274446, -0.011599511759613471, 0.5083518625812312, 0.5583380555198493, 0.46755806929655475, -0.050496232794851666, 0.4227425682559097, 0.38802188730965265, 0.4460665467138645, -0.4567119079884044, 0.3739533151057214, 0.30732008098780794, 0.7131512098309708, -0.23323695573738634, 0.0025044265756947797, 0.39022923734196463, 0.5818740358966672, 0.4947149513002639, 0.07834882050157639, 0.47947314040363936, 0.5349336701328385, 0.32734421413360976, 0.33854631548719294, 0.5609946153704661, 0.4687834766716922, 0.24320046756032673, -0.5240747974938592, 0.43807900317285936, -0.16380286942756983]",0.2595612575863851
Sports,Baseball,"[0.07116956, 0.06421051, 0.0633653, 0.07071669, 0.0648007, 0.041904077, 0.06758472, 0.07190241, 0.07092771, 0.058586095, 0.06758191, 0.065538295, 0.066094495, 0.075371526, 0.05762587, 0.061609875, 0.06127228, 0.058642283, 0.07041753, 0.06276248, 0.058787957, 0.06482148, 0.06427356, 0.07861393, 0.06320078, 0.08416441, 0.08228594, 0.059339575, 0.07792706, 0.055034954]",0.0660178,"[-0.5399813233392159, -0.1873011867568133, 0.11621350575205414, -0.798980406466089, -0.18125221474358222, 1.0127331616057065, -0.7168077486952291, -0.741101596238408, -0.9157146067660489, -0.10585840814263925, 0.13433693128256374, -0.048387622641249184, -0.20769492846328808, -0.9094119614599117, 0.7573238053811351, 0.2335980972978926, -0.9887070668351683, -0.2124884743166624, -0.5477526468922829, -0.49307884816504144, -0.7383115491644063, -0.7769233940064386, -0.5118263207594689, -0.7046243867886628, -0.6476210756385914, -0.6400259338329293, -0.7266920274681827, -0.25378322717267254, -0.5485503764361277, -0.2018501947305671]",-0.36968406748667737,"[-0.3500432190588107, -0.08170865840869142, -0.15883528831200622, -0.3833769856911691, -0.565558945812515, -0.022520756358020557, -0.15440260450075377, -0.21534708105797623, -0.2313064576168172, -0.2973675394753035, 0.07184172440760507, 0.021951705815790916, -0.5460585270418904, -0.18463447704170652, 0.08165461592684045, -0.021996080400640564, -0.2909395113678387, -0.2843015634687256, -0.4900210804633655, -0.3557016356035504, -0.192110406535679, -0.2873684392667309, -0.19987075156626802, -0.36892931227380643, -0.20438800112635627, -0.4402500402919377, 0.24192821817903248, -0.05414458631338694, -0.2732906385802771, -0.5405808165655855]",-0.225922571329018
Sports,Rugby,"[0.051396415, 0.065142386, 0.07182014, 0.038889762, 0.06565834, 0.043948878, 0.055532083, 0.04097047, 0.048393495, 0.040570557, 0.05339379, 0.040980287, 0.041539535, 0.059369806, 0.05715843, 0.045698658, 0.0497006, 0.04214592, 0.039990656, 0.052525412, 0.03352822, 0.03809029, 0.047545932, 0.053643554, 0.055243075, 0.05887255, 0.05542582, 0.061942715, 0.0520469, 0.047509417]",0.05028913,"[-0.3476668667952141, -0.04270164495949924, -0.20824126067660043, 0.4205598650141229, -0.3560748107476428, 0.9434187086433052, -0.7768041331099318, 0.025274513375191265, -0.21731567563020127, 0.06442760115081736, -0.5605860497198547, 0.6528346110825529, 0.600110387679937, -0.8011681971164184, -0.9229502722449388, -0.18875948286156907, -0.33079722977213244, 1.2952643145457738, 0.2769916179979628, -0.6576286450073496, -0.3270512430811081, 0.985875004211743, -0.2745850668456744, -0.094606678507267, -0.8706228801045612, -0.5420325608209873, -0.534453204172415, -0.15964660985948864, 0.13892975087438542, -0.024418379799858503]",-0.09448081724189737,"[-0.440441976951505, -0.22964765743179352, 0.1612718780127095, 0.5766255941002011, 0.13230507564290417, 0.6454236476968567, -0.12836086281017378, 0.1526713333664166, 0.18496793657720037, 0.26433898914969695, -0.09276104563113872, 0.5612117176422659, 0.5777598604539803, -0.23058952077806263, 0.05222824361136097, -0.4590351630131956, -0.02139615488052323, -0.8319676346042477, 0.17810074049308536, -0.03863726413470469, -0.4694033170500343, 0.29045925608043555, -0.33717379136137177, -0.01892366756581882, -0.1460908238350968, -0.4286900021296468, -0.42168462379496097, 0.025790520237559688, -0.20217157188259047, -0.6136945418981741]",-0.043583827556278855
Sports,Cricket,"[0.04538058, 0.05566373, 0.048578233, 0.04678991, 0.049078774, 0.038895868, 0.04757885, 0.04519115, 0.044945013, 0.05214685, 0.04328445, 0.0458974, 0.043618746, 0.045519184, 0.050493207, 0.0527269, 0.04631975, 0.041852575, 0.042283934, 0.04400703, 0.05008362, 0.04819774, 0.06085087, 0.0430637, 0.047745716, 0.046134595, 0.056947097, 0.057134476, 0.052034393, 0.04458946]",0.04790112,"[0.7186681754034212, 0.05243236560202291, -0.08198496920050813, -0.10728889576623457, 1.1198330702798973, -0.60212886440832, -0.20545085859724166, 0.41659783326919886, -0.1887924498022513, 0.049077969777840735, 0.04796535801599111, 0.6600061629323117, -0.27756293028277224, 0.2952935952990865, -0.6204090550841705, 0.0431531372975309, -0.014197270409831653, -0.06544122308939082, -0.09614735920479811, 0.05888540823179955, 0.04193705556537486, 0.3897229819149688, 0.07247065713342238, 0.1688227606134478, 0.3386553606323788, 2.00049872800116, -0.8601767702061527, -0.25018650963356937, 0.544435979818791, -0.33001821844269363]",0.11062237418869034,"[0.38979463944778453, -0.41294800930927544, 0.3680799502386584, 0.22762739374281818, 0.7565755541265773, 0.14934455005705924, -0.41259316628690407, 0.4664676649865575, 0.3032756239402399, 0.013052349106816215, 0.1558161373028761, 0.5275792429663532, 0.46522599453454155, 0.6513988312165914, -0.0673285370235316, 0.06289078357194361, 0.36283085649991603, 0.1536921976688437, 0.34323114153878803, -0.07981332877617649, 0.48886876615287395, 0.5313846941713222, 0.17529642483819427, 0.3046010523361101, 0.54210468644802, 0.842719944428178, -0.2641538903688486, -0.3675741311525249, 0.3355261629641747, -0.3430083582483906]",0.22233217403731956
Sports,Badminton,"[0.06621092, 0.06696981, 0.06320651, 0.047167756, 0.07323086, 0.04071827, 0.070780195, 0.07308225, 0.06783982, 0.064992554, 0.06440641, 0.052100644, 0.056328565, 0.059610073, 0.07180188, 0.057316203, 0.06714789, 0.05759148, 0.05610525, 0.06907951, 0.06027015, 0.064416185, 0.060641635, 0.060625955, 0.060502987, 0.0659654, 0.070653, 0.078995764, 0.062672876, 0.05567556]",0.06287021,"[-0.4966534935172584, -0.316231444760839, -0.3303732999539246, 0.8555029244018404, -0.24305525020680818, 0.22615760026854392, -0.9174645703092135, -0.7573542857289155, -0.1079866945984187, -0.1765980202543327, -0.1300169382387435, 0.6626164648296688, -0.17321391221269078, -0.036254920794135614, -0.5386084854532274, 0.009964210598888634, -0.6604528228710338, 0.4294558463312317, 0.6666444300167211, -0.20632850403271563, -0.5981988919314731, -0.7559696341554951, 0.45961446442077447, -0.3342517751768477, 0.007220251006567313, -0.5804597990247653, -0.5842065339969182, -0.4494403831482039, -0.392016099838977, -0.3020562220864371]",-0.1923338596805713,"[-0.17294156740305092, 0.0970580000064768, -0.13019974541650206, 0.3927892741274563, -0.12436216338430393, 0.38175451004168687, -0.21154993666278785, 0.04233910977497565, -0.46741375607482266, -0.39212925680010574, -0.22176867764103908, 0.29928315653271603, 0.21821878431432598, 0.1604567900596215, -0.2982756030270053, 0.05026437532595308, -0.048514100785336946, 0.15417762109742514, 0.4558071761264898, 0.03858726603545761, -0.23390609146238153, -0.09819474282549749, 0.1078525455502715, -0.021093980165053476, 0.014733893152800477, 0.05096807813299313, -0.2332383797145762, -0.16181979812473427, -0.3423918549136896, -0.31494757125844425]",-0.033615221512689385
